"batch_id","run_id","jcm","ccrs_mode","source","file","line","selected_uri","selected_original_index","selected_has_ccrs","selected_reordered","selected_origin","selected_type","selected_utility","options_count","matched_count"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1510","http://127.0.1.1:8080/cells/20/9","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1532","http://127.0.1.1:8080/cells/21/9","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1560","http://127.0.1.1:8080/cells/22/9","1","True","True","opportunistic-ccrs","stigmergy","0.742857142857143","3","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1582","http://127.0.1.1:8080/cells/23/9","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1608","http://127.0.1.1:8080/cells/23/10","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1630","http://127.0.1.1:8080/cells/24/10","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1652","http://127.0.1.1:8080/cells/25/10","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1674","http://127.0.1.1:8080/cells/26/10","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1700","http://127.0.1.1:8080/cells/26/11","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1722","http://127.0.1.1:8080/cells/27/11","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1744","http://127.0.1.1:8080/cells/28/11","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1770","http://127.0.1.1:8080/cells/28/12","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1792","http://127.0.1.1:8080/cells/28/13","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1814","http://127.0.1.1:8080/cells/28/14","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1838","http://127.0.1.1:8080/cells/28/15","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1864","http://127.0.1.1:8080/cells/29/15","1","True","True","opportunistic-ccrs","stigmergy","0.742857142857143","2","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1888","http://127.0.1.1:8080/cells/29/16","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1914","http://127.0.1.1:8080/cells/30/16","1","True","True","opportunistic-ccrs","stigmergy","0.742857142857143","2","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1938","http://127.0.1.1:8080/cells/31/16","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1966","http://127.0.1.1:8080/cells/31/17","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1990","http://127.0.1.1:8080/cells/32/17","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2014","http://127.0.1.1:8080/cells/32/18","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2038","http://127.0.1.1:8080/cells/32/19","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2064","http://127.0.1.1:8080/cells/33/19","1","True","True","opportunistic-ccrs","stigmergy","0.742857142857143","2","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2088","http://127.0.1.1:8080/cells/34/19","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2116","http://127.0.1.1:8080/cells/34/20","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2140","http://127.0.1.1:8080/cells/34/21","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2166","http://127.0.1.1:8080/cells/35/21","1","True","True","opportunistic-ccrs","stigmergy","0.742857142857143","2","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2190","http://127.0.1.1:8080/cells/36/21","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2222","http://127.0.1.1:8080/cells/36/22","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","3","3"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2246","http://127.0.1.1:8080/cells/36/23","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2272","http://127.0.1.1:8080/cells/37/23","1","True","True","opportunistic-ccrs","stigmergy","0.742857142857143","2","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2296","http://127.0.1.1:8080/cells/37/24","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2320","http://127.0.1.1:8080/cells/37/25","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2348","http://127.0.1.1:8080/cells/37/26","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","2","2"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","2372","http://127.0.1.1:8080/cells/37/27","0","True","False","opportunistic-ccrs","stigmergy","0.742857142857143","1","1"
